nn,item_name,price,link
1,Подушка для сна Миэль 50x70,3610руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-miel-50x70
2,Ковер Line-Salvador 160x230,15 810руб.,https://www.divan.ru/syktyvkar/product/kover-line-salvador-160x230
3,Ковер Джайпур-Этник 160x230,23 720руб.,https://www.divan.ru/syktyvkar/product/kover-djajpur-etnik-160x230
4,Ковер Vivica-White-Taupe 160x230,24 850руб.,https://www.divan.ru/syktyvkar/product/kover-vivica-white-taupe-160x230
5,Зеркало Стелла Дуб Сонома,3720руб.,https://www.divan.ru/syktyvkar/product/zerkalo-stella-dub-sonoma
6,Подушка для сна Маффи 50x70,2820руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-maffi-50x70
7,Одеяло Миллак 140x205,5640руб.,https://www.divan.ru/syktyvkar/product/odeyalo-millak-140x205
8,Ковер двусторонний Лиссе 160x230,10 160руб.,https://www.divan.ru/syktyvkar/product/kover-dvustoronnij-lisse-160x230
9,Подушка для сна Космо 50x70,2820руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-kosmo-50x70
10,Средство по уходу за мебелью AGG для рогожки,780руб.,https://www.divan.ru/syktyvkar/product/sredstva-po-uhodu-za-mebelyu-agg-dlya-rogojki
11,Ковер Лоуэлл 160x230,11 860руб.,https://www.divan.ru/syktyvkar/product/kover-louell-160x230
12,Пятновыводитель AGG универсальный,900руб.,https://www.divan.ru/syktyvkar/product/pyatnovyvoditel-agg-universalnyj
13,Средство по уходу за мебелью AGG для велюра,780руб.,https://www.divan.ru/syktyvkar/product/sredstva-po-uhodu-za-mebelyu-agg-dlya-velyura
14,Ковер Мейвори 160x230,12 420руб.,https://www.divan.ru/syktyvkar/product/kover-mejvori-160x230
15,Ковер Vivica-Grey-Blue 160x230,24 850руб.,https://www.divan.ru/syktyvkar/product/kover-vivica-grey-blue-160x230
16,Зеркало Стелла Белый,3720руб.,https://www.divan.ru/syktyvkar/product/zerkalo-stella-belyj
17,Ковер Арджил-Этник-Blue 70x160,11 290руб.,https://www.divan.ru/syktyvkar/product/kover-ardjil-etnik-blue-70x160
18,Средство очистки AGG для очистки ковров,780руб.,https://www.divan.ru/syktyvkar/product/sredstvo-ochistki-agg-dlya-ochistki-kovrov
19,Зеркало Кристэн Дуб Сонома,3720руб.,https://www.divan.ru/syktyvkar/product/zerkalo-kristen-dub-sonoma
20,Ковер Боник 160x230,12 990руб.,https://www.divan.ru/syktyvkar/product/kover-bonik-160x230
21,Подушка для сна Бэлл 50x70,2820руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-bell-50x70
22,Одеяло Сиена 140x205,5640руб.,https://www.divan.ru/syktyvkar/product/odeyalo-siena-140x205
23,Ковер Флау 160x230,13 550руб.,https://www.divan.ru/syktyvkar/product/kover-flau-160x230
24,Подушка для сна Вивьен 50x70,1580руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-viven-50x70
25,Ковер Memory-Blue 120x180,12 420руб.,https://www.divan.ru/syktyvkar/product/kover-memory-blue-120x180
26,Подушка для сна Амели 50x70,2250руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-ameli-50x70
27,Подушка для сна Сиена 50x70,2820руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-siena-50x70
28,Одеяло Илин 200x220,9030руб.,https://www.divan.ru/syktyvkar/product/odeyalo-ilin-200x220
29,Подушка для сна Флатми 50x70,3380руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-flatmi-50x70
30,Подушка для сна Илин 50x70,3380руб.,https://www.divan.ru/syktyvkar/product/podushka-dlya-sna-ilin-50x70
